RestaurantID,Cuisine,Rating,NumberOfReview
"YkHSu1qIQvG9uxTTBUYIoQ","Chinese",4,11
"svvP8Thiit_8TX_Lfeecrw","Chinese",3,48
"JnbON6Z3M5ahO6t8IEChxQ","Chinese",3.5,16
"ATqzYWJLxhNlaXGjmHGNZQ","Chinese",2.5,43
"6gE9N5wD4K_bbmSEBm7Lhw","Chinese",3.5,45
"2QXh_2xPLl7JtzwbYXxBeA","Chinese",4.5,6
"OaBNRhwYaT_PwSrvIuLkPg","Chinese",5,2
"S67SO2lFACuWY0AKPbbyfA","Chinese",4,23
"KfSVmCd4uvqqMuZTlruQCQ","Chinese",3.5,6
"OvdCm3j_5HzItolfvwrEUA","Chinese",3.5,337
"k_vsZU3Ba_fX0oXC_iO_GQ","Chinese",4.5,9
"laaStiCIKrjgXvAFy3LYHg","Chinese",3,20
"MFYh1htbCY8naZfkdF9rEQ","Hot Pot",4.5,122
"gxEYxWqKVhs8xBw9Lvd7hA","Chinese",3.5,44
"GDqIF_JMOO_8EM3yKn25_w","Chinese",4,14
"e_6UcplEErq2Hj14_eiM6Q","Chinese",3.5,22
"H7jcYql9RIfIzIYIlWbdRg","Chinese",3,8
"Ckz_1t4nUoFf2Yw_uuK4jQ","Chinese",3,55
"kyJ0CtJ2Lrid_YdZWobf7w","Chinese",3.5,199
"ydi02Oq3w8OSYDLqEoj7jw","Chinese",3.5,2
"3NYQQckItp9l7GDzALw79w","Chinese",3.5,47
"2roGBLPFp4X0sgmWuFEEBQ","Chinese",5,4
"XNZXyahRs1_GOx_71LET1w","Chinese",4,10
"XJ68bnXVpW_pZTuiDrnCzQ","Chinese",4,20
"_3_d9GcVU7NvQvmUWaRZUQ","Chinese",3.5,23
"jqFPsQrQsgRkvUziYNKdSw","Chinese",4,22
"30pqvzHrCNmnodJCRyzrTg","Asian Fusion",4,166
"_iLjlrftSGKvFyG6PXQyAg","Chinese",4.5,20
"BJi6fX_mObaJ3N75v6mwaQ","Seafood",4,18
"duVKdeFRXc6Tr2UY5vTPwQ","Chinese",4,15
"2pnhIRBUw58PpN8CQEYiZA","Chinese",3.5,51
"WdvCF8x6_XcCEF_eyDduxw","Chinese",4,1
"rL5F8YnQq9SY0hyece4W2w","Food Stands",3.5,138
"0xlBMTeY3n_W4h8exuGG2Q","Chinese",3.5,18
"p_rLkKnNekR7nplgWnAUYQ","Chinese",3.5,91
"hUdRX0a_2ZZEmB8KCp_WYw","Szechuan",3.5,58
"jpK6MMfLJwLXCzTeywyNNA","Dim Sum",3.5,165
"fPW_GBZsnBNsIzK62sCHBg","Chinese",4,825
"5q0Q75_KEP19Eq2AWicJZA","Chinese",3.5,56
"zWDiH7KpUhRhv1cPNExMDg","Chinese",4.5,4
"xrTUkzB4YQTXm8TKdNyJ4A","Chinese",4.5,17
"v5CsUc6pr7foHWsoQ0Y36Q","Chinese",3.5,69
"2lJbbTUnkfdUIaeii7mx4Q","Chinese",3.5,15
"ZodRffm6pfjb6PPtvOZ5AQ","Chinese",3,32
"pjbMNd88LRNxvrwaO8kEhQ","Chinese",3.5,32
"upTR0Et3cuT_0gFCUezctQ","Chinese",3.5,2
"CflDIalFPdd7U3_fcq4Lkg","Chinese",4,16
"kWJF8L1u5jdlkLBItUu16w","Chinese",3.5,631
"Ex_qolTE5syJ8so0NscfGw","Chinese",3,38
"PBh9J_5HF8dtg2MTTUqVnw","Chinese",3.5,25
"kgkjgqFn1kRw5qEY0FMiBQ","Chinese",3,36
"JDv_pfBjuaU3BR7GC6GxRQ","Chinese",3.5,31
"rtucksGJ2MebjJ0PqjIPaw","Chinese",3,55
"tpNw3wIbehblYJAxPWFDRw","Chinese",4.5,7
"CZc8HqioU9WFJcml530kmQ","Chinese",4,13
"AbfZkSRMtiHE3naWrN_0Eg","Chinese",3.5,39
"a52GUjv7jYD3Baa0Ltbytw","Chinese",3.5,16
"EPssbCqoPTIFzZf860lRFQ","Chinese",2.5,16
"eqdqHdY1CdCRHMXf6CgK3Q","Asian Fusion",4,93
"GJZnf3B_ADjlCV1NXsHvGQ","Chinese",3,89
"w8mt6JTk8lUe7dTV6hASEw","Chinese",3.5,46
"MdD_PgW2A4XP1WMkHbOWng","Chinese",4,28
"dP6SmZ5E5Nj64_3zZMjGSg","Chinese",3,38
"B3i4zs5wquFu1UZyzYJ_bQ","Chinese",3.5,1751
"MwmXUth8tZBJ0cqg_ouzog","Chinese",4,25
"mvHWeaxuBg91tW1QB9GBcQ","Chinese",3,9
"VmhJfKhSFj3XOHTsT3Qhjg","Chinese",3.5,16
"Q29wPbgiFkYDifXoCpXwqw","Trinidadian",4,20
"hDrPCldN8HJoQfK2a6t_uA","Mexican",3.5,15
"zb78ua_FlfFRj8v082giBw","Chinese",3.5,93
"_O3q6PSXNoPapUar_RVXPw","Chinese",3.5,11
"j0tkph2po_37gtZ1ufxiow","Chinese",2.5,79
"iieHiReZ8XDDEy5qtukuVw","Chinese",4,8
"bH6U8bze3zVTUBOPm913NQ","Chinese",4.5,172
"sjOp9UbbfKbohpEjQt2JRg","Chinese",4.5,5
"tEPnkxyyzxP_xYTDFEW6Qw","Hot Pot",4.5,11
"5z1CFWRQYu38S6UMIckT9Q","Chinese",3,24
"NJGtDl4jqIaRz0qEnfUOOQ","Chinese",3,36
"J8DcCIyjmwky9J3RdLQhJg","Chinese",3,18
"J6ZCPE3Fu1Ikgy9qO7Cl3Q","Chinese",4,6
"x_t_FtDa5HVgc_wecp0HBg","Shanghainese",3.5,2020
"31yEM_YcyAqG6an7attTlg","Chinese",3,15
"LQ6x_oaOhRrlG9i8p_Fubw","Chinese",3.5,124
"LflkBDk2_VlaUQ00MZbOQQ","Chinese",3.5,5
"ctfDC3_bK_Up3IC5wFnBVQ","Chinese",4,7
"OUXpyNFn4XY_2cNyURHCQw","Chinese",3.5,28
"gqUR7hd3NsxOD_JrD_iFfQ","Chinese",4,7
"Fj5RosdsJV24ZT8S6X_nNQ","Himalayan_Nepalese",3.5,31
"zyG1GIU3KnIZ3bOVGgJXlA","Barbeque",3.5,90
"Tr9TqR3UQilQgitrdoAkrQ","Chinese",4.5,4
"zv3QIA_xGfegH9EGpxgriQ","Bakeries",3.5,70
